id	firstName	lastName	salary	from_department	to_department
11	Mikel	Wiggall	$45536.1	Research and Development	Training
11	Mikel	Wiggall	$45536.1	Research and Development	Services
11	Mikel	Wiggall	$45536.1	Research and Development	Marketing
3	Izzy	Blenkinsop	$40802.25	Services	Training
17	Hardy	Bonar	$46626.26	Engineering	Training
17	Hardy	Bonar	$46626.26	Engineering	Services
17	Hardy	Bonar	$46626.26	Engineering	Marketing
100	Sanson	Lefort	$46579.99	Sales	Training
100	Sanson	Lefort	$46579.99	Sales	Services
100	Sanson	Lefort	$46579.99	Sales	Marketing
86	Sula	Cowperthwaite	$43254.05	Accounting	Training
99	Magda	Crawley	$49245.32	Business Development	Training
99	Magda	Crawley	$49245.32	Business Development	Services
99	Magda	Crawley	$49245.32	Business Development	Engineering
99	Magda	Crawley	$49245.32	Business Development	Support
99	Magda	Crawley	$49245.32	Business Development	Marketing
13	Cody	MacKeever	$42302.58	Human Resources	Training
28	Davidde	Gillings	$49956.67	Human Resources	Training
28	Davidde	Gillings	$49956.67	Human Resources	Services
28	Davidde	Gillings	$49956.67	Human Resources	Engineering
28	Davidde	Gillings	$49956.67	Human Resources	Support
28	Davidde	Gillings	$49956.67	Human Resources	Business Development
28	Davidde	Gillings	$49956.67	Human Resources	Marketing
62	Jedediah	Tingle	$39775.27	Human Resources	Training
82	Dorella	Lathan	$44606.97	Human Resources	Training
